No;Bahan baku; Jan Minggu 1;Jan Minggu2;jan Minggu3;Jan Minggu 4 ;Feb minggu1;FEB minggu 2;Feb minggu 3;Feb Minggu 4;Mar minggu 1;mar minggu 2;mar minggu 3;mar minggu 4;april minggu 1;aprl minggu2;aprl minggu 3;aprl minggu 4;mei minggu 1;mei minggu 2;mei minggu 3;mei minggu 4;jun mingggu1;jun minggu 2;jun minggu 3;jun minggu 4
1;Ayam;2687;3365;3351;4869;3143;3564;3317;4364;3280;3427;3436;3790;2687;3365;3351;4869;2997;3258;3349;5371;3276;3436;3436;4628
2;Gepuk;802;1022;989;1469;910;976;975;1317;956;992;975;1188;802;1022;989;1469;746;1007;966;1474;854;975;975;1353
3;Ikan asin;75;63;53;122;73;71;58;72;63;90;63;81;75;63;53;122;57;64;58;102;62;63;63;89
4;Ikan Gurame;218;145;112;310;136;208;127;152;124;249;140;297;218;145;112;310;144;166;121;228;161;140;140;246
5;Ikan mas;242;315;290;472;386;339;319;328;338;308;335;415;242;315;290;472;297;340;257;543;374;335;335;408
6;Ikan nila;194;230;178;336;205;259;201;253;192;224;199;325;194;230;178;336;223;192;189;306;220;199;199;333
7;Kerupuk;73;186;162;154;162;121;171;156;162;96;174;373;73;186;162;154;100;170;174;229;172;174;174;179
8;Perkedel;199;253;269;308;189;411;243;354;229;265;244;442;199;253;269;308;285;330;255;348;304;244;244;496
9;Sate maranggi;80;97;58;113;52;89;90;73;55;90;90;104;80;97;58;113;63;77;62;137;75;90;90;120
10;Tahu;21;53;50;57;71;51;48;43;60;30;53;51;21;53;50;57;28;74;45;77;53;53;53;60
11;telor;107;151;106;193;158;89;163;111;132;127;162;227;107;151;106;193;59;145;99;268;127;162;162;120
12;Tempe;30;37;36;52;44;43;37;33;40;35;37;53;30;37;36;52;34;44;35;51;40;37;37;53
13;Wingko;207;286;312;392;228;254;268;425;270;295;296;312;207;286;312;392;223;248;317;452;267;296;296;369
